,FACILITY_ID,BUSINESS_NAME,ADDR,CITY,CAT_1,CAT_2,SUBCAT_1,SUBCAT_2,SUBCAT_3,INFRACTION_TYPE,RESULT,INFRACTION_TOTAL,INSPECTION_DATE,REQUIRE_REINSPECTION,CERTIFIED_FOOD_HANDLER,INSPECTION_TYPE
12,B90BF354-F437-470B-89DB-0074D8375EDB,MAC'S CONVENIENCE,540 WESTFOREST TRAIL,KITCHENER,Food, General,Food store convenience , Variety,,NON-CRITICAL,Not in Compliance,1.0,2015-12-02,N,No,Re-inspection
13,B90BF354-F437-470B-89DB-0074D8375EDB,MAC'S CONVENIENCE,540 WESTFOREST TRAIL,KITCHENER,Food, General,Food store convenience , Variety,,,,,2017-01-26,N,No,Compliance Inspection
14,5C17261A-3E7F-4171-AFA7-008C0C7D7579,MCDONALD'S,1138 VICTORIA ST N,KITCHENER,Food, General,Restaurant,,,NON-CRITICAL,Corrected During Inspection,2.0,2016-05-30,N,Yes,Compliance Inspection
15,5C17261A-3E7F-4171-AFA7-008C0C7D7579,MCDONALD'S,1138 VICTORIA ST N,KITCHENER,Food, General,Restaurant,,,NON-CRITICAL,Corrected During Inspection,3.0,2015-10-30,N,Yes,Compliance Inspection
16,5C17261A-3E7F-4171-AFA7-008C0C7D7579,MCDONALD'S,1138 VICTORIA ST N,KITCHENER,Food, General,Restaurant,,,,,,2016-11-08,N,Yes,Compliance Inspection
17,D0A8AEAD-508B-46A7-9EBD-00A71F4C5D1C,LE-ON,4 - 148 PEEL ST,NEW HAMBURG,Food, General,Food Take Out,,,NON-CRITICAL,Corrected During Inspection,1.0,2016-02-23,Y,Yes,Compliance Inspection
18,D0A8AEAD-508B-46A7-9EBD-00A71F4C5D1C,LE-ON,4 - 148 PEEL ST,NEW HAMBURG,Food, General,Food Take Out,,,NON-CRITICAL,Not in Compliance,3.0,2016-02-23,Y,Yes,Compliance Inspection
19,D0A8AEAD-508B-46A7-9EBD-00A71F4C5D1C,LE-ON,4 - 148 PEEL ST,NEW HAMBURG,Food, General,Food Take Out,,,CRITICAL,Corrected During Inspection,2.0,2016-02-23,Y,Yes,Compliance Inspection
20,D0A8AEAD-508B-46A7-9EBD-00A71F4C5D1C,LE-ON,4 - 148 PEEL ST,NEW HAMBURG,Food, General,Food Take Out,,,NON-CRITICAL,Not in Compliance,3.0,2016-11-29,N,Yes,Compliance Inspection
21,D0A8AEAD-508B-46A7-9EBD-00A71F4C5D1C,LE-ON,4 - 148 PEEL ST,NEW HAMBURG,Food, General,Food Take Out,,,CRITICAL,Corrected During Inspection,2.0,2016-11-29,N,Yes,Compliance Inspection
22,D0A8AEAD-508B-46A7-9EBD-00A71F4C5D1C,LE-ON,4 - 148 PEEL ST,NEW HAMBURG,Food, General,Food Take Out,,,NON-CRITICAL,Not in Compliance,1.0,2017-03-17,N,Yes,Compliance Inspection
23,D0A8AEAD-508B-46A7-9EBD-00A71F4C5D1C,LE-ON,4 - 148 PEEL ST,NEW HAMBURG,Food, General,Food Take Out,,,CRITICAL,Corrected During Inspection,1.0,2017-03-17,N,Yes,Compliance Inspection
24,D0A8AEAD-508B-46A7-9EBD-00A71F4C5D1C,LE-ON,4 - 148 PEEL ST,NEW HAMBURG,Food, General,Food Take Out,,,NON-CRITICAL,Corrected During Inspection,1.0,2017-03-17,N,Yes,Compliance Inspection
25,D0A8AEAD-508B-46A7-9EBD-00A71F4C5D1C,LE-ON,4 - 148 PEEL ST,NEW HAMBURG,Food, General,Food Take Out,,,NON-CRITICAL,Not in Compliance,2.0,2016-07-20,N,Yes,Compliance Inspection
26,D0A8AEAD-508B-46A7-9EBD-00A71F4C5D1C,LE-ON,4 - 148 PEEL ST,NEW HAMBURG,Food, General,Food Take Out,,,CRITICAL,Corrected During Inspection,1.0,2016-07-20,N,Yes,Compliance Inspection
27,D0A8AEAD-508B-46A7-9EBD-00A71F4C5D1C,LE-ON,4 - 148 PEEL ST,NEW HAMBURG,Food, General,Food Take Out,,,NON-CRITICAL,Corrected During Inspection,2.0,2015-10-22,N,Yes,Compliance Inspection
28,D0A8AEAD-508B-46A7-9EBD-00A71F4C5D1C,LE-ON,4 - 148 PEEL ST,NEW HAMBURG,Food, General,Food Take Out,,,NON-CRITICAL,Not in Compliance,2.0,2015-10-22,N,Yes,Compliance Inspection
29,D0A8AEAD-508B-46A7-9EBD-00A71F4C5D1C,LE-ON,4 - 148 PEEL ST,NEW HAMBURG,Food, General,Food Take Out,,,CRITICAL,Corrected During Inspection,1.0,2015-10-22,N,Yes,Compliance Inspection
30,D0A8AEAD-508B-46A7-9EBD-00A71F4C5D1C,LE-ON,4 - 148 PEEL ST,NEW HAMBURG,Food, General,Food Take Out,,,NON-CRITICAL,Not in Compliance,1.0,2017-07-06,N,No,Re-inspection
31,D0A8AEAD-508B-46A7-9EBD-00A71F4C5D1C,LE-ON,4 - 148 PEEL ST,NEW HAMBURG,Food, General,Food Take Out,,,NON-CRITICAL,Not in Compliance,4.0,2017-06-29,N,No,Compliance Inspection
32,D0A8AEAD-508B-46A7-9EBD-00A71F4C5D1C,LE-ON,4 - 148 PEEL ST,NEW HAMBURG,Food, General,Food Take Out,,,CRITICAL,Corrected During Inspection,2.0,2017-06-29,N,No,Compliance Inspection
33,A1A52FA9-E5AC-461B-B67D-00B33E489DAD,PRESTON CHIP WAGON,132 WESTMINSTER DR S,CAMBRIDGE,Food, General,Restaurant,,,NON-CRITICAL,Not in Compliance,3.0,2016-08-16,N,Yes,Compliance Inspection
34,A1A52FA9-E5AC-461B-B67D-00B33E489DAD,PRESTON CHIP WAGON,132 WESTMINSTER DR S,CAMBRIDGE,Food, General,Restaurant,,,CRITICAL,Corrected During Inspection,1.0,2016-08-16,N,Yes,Compliance Inspection
35,A1A52FA9-E5AC-461B-B67D-00B33E489DAD,PRESTON CHIP WAGON,132 WESTMINSTER DR S,CAMBRIDGE,Food, General,Restaurant,,,NON-CRITICAL,Not in Compliance,1.0,2017-08-03,N,No,Compliance Inspection
36,A1A52FA9-E5AC-461B-B67D-00B33E489DAD,PRESTON CHIP WAGON,132 WESTMINSTER DR S,CAMBRIDGE,Food, General,Restaurant,,,NON-CRITICAL,Corrected During Inspection,2.0,2017-08-03,N,No,Compliance Inspection
37,A1A52FA9-E5AC-461B-B67D-00B33E489DAD,PRESTON CHIP WAGON,132 WESTMINSTER DR S,CAMBRIDGE,Food, General,Restaurant,,,CRITICAL,Corrected During Inspection,1.0,2017-03-21,Y,Yes,Compliance Inspection
38,A1A52FA9-E5AC-461B-B67D-00B33E489DAD,PRESTON CHIP WAGON,132 WESTMINSTER DR S,CAMBRIDGE,Food, General,Restaurant,,,NON-CRITICAL,Not in Compliance,2.0,2017-03-21,Y,Yes,Compliance Inspection
39,A1A52FA9-E5AC-461B-B67D-00B33E489DAD,PRESTON CHIP WAGON,132 WESTMINSTER DR S,CAMBRIDGE,Food, General,Restaurant,,,NON-CRITICAL,Corrected During Inspection,1.0,2017-03-21,Y,Yes,Compliance Inspection
40,A1A52FA9-E5AC-461B-B67D-00B33E489DAD,PRESTON CHIP WAGON,132 WESTMINSTER DR S,CAMBRIDGE,Food, General,Restaurant,,,CRITICAL,Corrected During Inspection,2.0,2016-02-11,N,Yes,Compliance Inspection
41,A1A52FA9-E5AC-461B-B67D-00B33E489DAD,PRESTON CHIP WAGON,132 WESTMINSTER DR S,CAMBRIDGE,Food, General,Restaurant,,,NON-CRITICAL,Not in Compliance,2.0,2016-02-11,N,Yes,Compliance Inspection
42,A1A52FA9-E5AC-461B-B67D-00B33E489DAD,PRESTON CHIP WAGON,132 WESTMINSTER DR S,CAMBRIDGE,Food, General,Restaurant,,,NON-CRITICAL,Corrected During Inspection,1.0,2016-02-11,N,Yes,Compliance Inspection
43,A1A52FA9-E5AC-461B-B67D-00B33E489DAD,PRESTON CHIP WAGON,132 WESTMINSTER DR S,CAMBRIDGE,Food, General,Restaurant,,,,,,2017-03-30,N,No,Re-inspection
44,6EA34890-1949-4F07-A03C-00C4DF778AA8,SUGAR MARMALADE,5 - 203 LESTER ST,WATERLOO,Food, General,Restaurant,,,NON-CRITICAL,Not in Compliance,3.0,2016-05-26,Y,No,Compliance Inspection
45,6EA34890-1949-4F07-A03C-00C4DF778AA8,SUGAR MARMALADE,5 - 203 LESTER ST,WATERLOO,Food, General,Restaurant,,,NON-CRITICAL,Corrected During Inspection,1.0,2016-05-26,Y,No,Compliance Inspection
46,6EA34890-1949-4F07-A03C-00C4DF778AA8,SUGAR MARMALADE,5 - 203 LESTER ST,WATERLOO,Food, General,Restaurant,,,CRITICAL,Corrected During Inspection,1.0,2016-05-26,Y,No,Compliance Inspection
47,6EA34890-1949-4F07-A03C-00C4DF778AA8,SUGAR MARMALADE,5 - 203 LESTER ST,WATERLOO,Food, General,Restaurant,,,NON-CRITICAL,Not in Compliance,1.0,2017-03-02,N,No,Re-inspection
48,6EA34890-1949-4F07-A03C-00C4DF778AA8,SUGAR MARMALADE,5 - 203 LESTER ST,WATERLOO,Food, General,Restaurant,,,NON-CRITICAL,Not in Compliance,1.0,2016-01-28,N,No,Re-inspection
49,6EA34890-1949-4F07-A03C-00C4DF778AA8,SUGAR MARMALADE,5 - 203 LESTER ST,WATERLOO,Food, General,Restaurant,,,NON-CRITICAL,Not in Compliance,2.0,2015-09-14,Y,Yes,Re-inspection
50,6EA34890-1949-4F07-A03C-00C4DF778AA8,SUGAR MARMALADE,5 - 203 LESTER ST,WATERLOO,Food, General,Restaurant,,,NON-CRITICAL,Corrected During Inspection,1.0,2017-02-24,Y,No,Re-inspection
51,6EA34890-1949-4F07-A03C-00C4DF778AA8,SUGAR MARMALADE,5 - 203 LESTER ST,WATERLOO,Food, General,Restaurant,,,NON-CRITICAL,Not in Compliance,3.0,2017-02-24,Y,No,Re-inspection
52,6EA34890-1949-4F07-A03C-00C4DF778AA8,SUGAR MARMALADE,5 - 203 LESTER ST,WATERLOO,Food, General,Restaurant,,,CRITICAL,Corrected During Inspection,1.0,2016-01-25,Y,No,Compliance Inspection
53,6EA34890-1949-4F07-A03C-00C4DF778AA8,SUGAR MARMALADE,5 - 203 LESTER ST,WATERLOO,Food, General,Restaurant,,,NON-CRITICAL,Not in Compliance,2.0,2016-01-25,Y,No,Compliance Inspection
54,6EA34890-1949-4F07-A03C-00C4DF778AA8,SUGAR MARMALADE,5 - 203 LESTER ST,WATERLOO,Food, General,Restaurant,,,NON-CRITICAL,Corrected During Inspection,2.0,2016-01-25,Y,No,Compliance Inspection
55,6EA34890-1949-4F07-A03C-00C4DF778AA8,SUGAR MARMALADE,5 - 203 LESTER ST,WATERLOO,Food, General,Restaurant,,,NON-CRITICAL,Not in Compliance,4.0,2017-02-15,Y,No,Compliance Inspection
56,6EA34890-1949-4F07-A03C-00C4DF778AA8,SUGAR MARMALADE,5 - 203 LESTER ST,WATERLOO,Food, General,Restaurant,,,NON-CRITICAL,Corrected During Inspection,1.0,2017-02-15,Y,No,Compliance Inspection
57,6EA34890-1949-4F07-A03C-00C4DF778AA8,SUGAR MARMALADE,5 - 203 LESTER ST,WATERLOO,Food, General,Restaurant,,,CRITICAL,Not in Compliance,2.0,2017-02-15,Y,No,Compliance Inspection
58,6EA34890-1949-4F07-A03C-00C4DF778AA8,SUGAR MARMALADE,5 - 203 LESTER ST,WATERLOO,Food, General,Restaurant,,,NON-CRITICAL,Not in Compliance,3.0,2017-02-21,Y,No,Re-inspection
59,6EA34890-1949-4F07-A03C-00C4DF778AA8,SUGAR MARMALADE,5 - 203 LESTER ST,WATERLOO,Food, General,Restaurant,,,NON-CRITICAL,Corrected During Inspection,1.0,2017-02-21,Y,No,Re-inspection
60,6EA34890-1949-4F07-A03C-00C4DF778AA8,SUGAR MARMALADE,5 - 203 LESTER ST,WATERLOO,Food, General,Restaurant,,,NON-CRITICAL,Not in Compliance,2.0,2016-10-05,Y,Yes,Compliance Inspection
61,6EA34890-1949-4F07-A03C-00C4DF778AA8,SUGAR MARMALADE,5 - 203 LESTER ST,WATERLOO,Food, General,Restaurant,,,CRITICAL,Not in Compliance,2.0,2016-10-05,Y,Yes,Compliance Inspection
62,6EA34890-1949-4F07-A03C-00C4DF778AA8,SUGAR MARMALADE,5 - 203 LESTER ST,WATERLOO,Food, General,Restaurant,,,NON-CRITICAL,Corrected During Inspection,1.0,2016-10-05,Y,Yes,Compliance Inspection
63,6EA34890-1949-4F07-A03C-00C4DF778AA8,SUGAR MARMALADE,5 - 203 LESTER ST,WATERLOO,Food, General,Restaurant,,,CRITICAL,Corrected During Inspection,1.0,2016-10-11,N,No,Re-inspection
64,6EA34890-1949-4F07-A03C-00C4DF778AA8,SUGAR MARMALADE,5 - 203 LESTER ST,WATERLOO,Food, General,Restaurant,,,NON-CRITICAL,Not in Compliance,8.0,2015-09-02,Y,Yes,Compliance Inspection
65,6EA34890-1949-4F07-A03C-00C4DF778AA8,SUGAR MARMALADE,5 - 203 LESTER ST,WATERLOO,Food, General,Restaurant,,,CRITICAL,Not in Compliance,2.0,2015-09-02,Y,Yes,Compliance Inspection
66,6EA34890-1949-4F07-A03C-00C4DF778AA8,SUGAR MARMALADE,5 - 203 LESTER ST,WATERLOO,Food, General,Restaurant,,,NON-CRITICAL,Corrected During Inspection,1.0,2015-09-02,Y,Yes,Compliance Inspection
67,6EA34890-1949-4F07-A03C-00C4DF778AA8,SUGAR MARMALADE,5 - 203 LESTER ST,WATERLOO,Food, General,Restaurant,,,CRITICAL,Corrected During Inspection,1.0,2015-09-02,Y,Yes,Compliance Inspection
68,6EA34890-1949-4F07-A03C-00C4DF778AA8,SUGAR MARMALADE,5 - 203 LESTER ST,WATERLOO,Food, General,Restaurant,,,CRITICAL,Corrected During Inspection,1.0,2016-06-01,N,No,Re-inspection
69,6EA34890-1949-4F07-A03C-00C4DF778AA8,SUGAR MARMALADE,5 - 203 LESTER ST,WATERLOO,Food, General,Restaurant,,,NON-CRITICAL,Not in Compliance,4.0,2015-09-03,Y,Yes,Re-inspection
70,6EA34890-1949-4F07-A03C-00C4DF778AA8,SUGAR MARMALADE,5 - 203 LESTER ST,WATERLOO,Food, General,Restaurant,,,CRITICAL,Corrected During Inspection,1.0,2015-09-03,Y,Yes,Re-inspection
71,6EA34890-1949-4F07-A03C-00C4DF778AA8,SUGAR MARMALADE,5 - 203 LESTER ST,WATERLOO,Food, General,Restaurant,,,NON-CRITICAL,Corrected During Inspection,1.0,2015-09-03,Y,Yes,Re-inspection
72,6EA34890-1949-4F07-A03C-00C4DF778AA8,SUGAR MARMALADE,5 - 203 LESTER ST,WATERLOO,Food, General,Restaurant,,,CRITICAL,Corrected During Inspection,2.0,2017-07-07,Y,No,Compliance Inspection
73,6EA34890-1949-4F07-A03C-00C4DF778AA8,SUGAR MARMALADE,5 - 203 LESTER ST,WATERLOO,Food, General,Restaurant,,,NON-CRITICAL,Not in Compliance,4.0,2017-07-07,Y,No,Compliance Inspection
74,6EA34890-1949-4F07-A03C-00C4DF778AA8,SUGAR MARMALADE,5 - 203 LESTER ST,WATERLOO,Food, General,Restaurant,,,NON-CRITICAL,Corrected During Inspection,1.0,2017-07-07,Y,No,Compliance Inspection
75,6EA34890-1949-4F07-A03C-00C4DF778AA8,SUGAR MARMALADE,5 - 203 LESTER ST,WATERLOO,Food, General,Restaurant,,,,,,2015-09-21,N,Yes,Re-inspection
76,6EA34890-1949-4F07-A03C-00C4DF778AA8,SUGAR MARMALADE,5 - 203 LESTER ST,WATERLOO,Food, General,Restaurant,,,,,,2017-07-12,N,No,Re-inspection
77,D74B46F7-9A1C-4CFB-81B6-00D964655849,SOUTHWOOD PIZZERIA,5 - 304 ST ANDREWS ST,CAMBRIDGE,Food, General,Restaurant,,,NON-CRITICAL,Not in Compliance,4.0,2017-07-11,Y,No,Re-inspection
78,D74B46F7-9A1C-4CFB-81B6-00D964655849,SOUTHWOOD PIZZERIA,5 - 304 ST ANDREWS ST,CAMBRIDGE,Food, General,Restaurant,,,CRITICAL,Not in Compliance,1.0,2017-07-11,Y,No,Re-inspection
79,D74B46F7-9A1C-4CFB-81B6-00D964655849,SOUTHWOOD PIZZERIA,5 - 304 ST ANDREWS ST,CAMBRIDGE,Food, General,Restaurant,,,NON-CRITICAL,Corrected During Inspection,1.0,2016-01-13,N,No,Compliance Inspection
80,D74B46F7-9A1C-4CFB-81B6-00D964655849,SOUTHWOOD PIZZERIA,5 - 304 ST ANDREWS ST,CAMBRIDGE,Food, General,Restaurant,,,CRITICAL,Not in Compliance,1.0,2017-03-20,N,No,Compliance Inspection
81,D74B46F7-9A1C-4CFB-81B6-00D964655849,SOUTHWOOD PIZZERIA,5 - 304 ST ANDREWS ST,CAMBRIDGE,Food, General,Restaurant,,,NON-CRITICAL,Not in Compliance,3.0,2017-03-20,N,No,Compliance Inspection
82,D74B46F7-9A1C-4CFB-81B6-00D964655849,SOUTHWOOD PIZZERIA,5 - 304 ST ANDREWS ST,CAMBRIDGE,Food, General,Restaurant,,,NON-CRITICAL,Corrected During Inspection,1.0,2017-03-20,N,No,Compliance Inspection
83,D74B46F7-9A1C-4CFB-81B6-00D964655849,SOUTHWOOD PIZZERIA,5 - 304 ST ANDREWS ST,CAMBRIDGE,Food, General,Restaurant,,,CRITICAL,Not in Compliance,1.0,2016-11-22,Y,No,Compliance Inspection
84,D74B46F7-9A1C-4CFB-81B6-00D964655849,SOUTHWOOD PIZZERIA,5 - 304 ST ANDREWS ST,CAMBRIDGE,Food, General,Restaurant,,,NON-CRITICAL,Not in Compliance,2.0,2016-11-22,Y,No,Compliance Inspection
85,D74B46F7-9A1C-4CFB-81B6-00D964655849,SOUTHWOOD PIZZERIA,5 - 304 ST ANDREWS ST,CAMBRIDGE,Food, General,Restaurant,,,NON-CRITICAL,Not in Compliance,1.0,2015-09-21,N,No,Compliance Inspection
86,D74B46F7-9A1C-4CFB-81B6-00D964655849,SOUTHWOOD PIZZERIA,5 - 304 ST ANDREWS ST,CAMBRIDGE,Food, General,Restaurant,,,CRITICAL,Not in Compliance,1.0,2015-09-21,N,No,Compliance Inspection
87,D74B46F7-9A1C-4CFB-81B6-00D964655849,SOUTHWOOD PIZZERIA,5 - 304 ST ANDREWS ST,CAMBRIDGE,Food, General,Restaurant,,,NON-CRITICAL,Corrected During Inspection,1.0,2015-09-21,N,No,Compliance Inspection
88,D74B46F7-9A1C-4CFB-81B6-00D964655849,SOUTHWOOD PIZZERIA,5 - 304 ST ANDREWS ST,CAMBRIDGE,Food, General,Restaurant,,,,,,2016-11-25,N,No,Re-inspection
89,D74B46F7-9A1C-4CFB-81B6-00D964655849,SOUTHWOOD PIZZERIA,5 - 304 ST ANDREWS ST,CAMBRIDGE,Food, General,Restaurant,,,,,,2016-08-02,N,No,Compliance Inspection
90,5D936625-BDA7-49CD-A9CE-00E7BE1676FB,PIZZATOWN,3 - 1453 KING ST E,CAMBRIDGE,Food, General,Food Take Out,,,NON-CRITICAL,Corrected During Inspection,1.0,2015-08-25,N,No,Re-inspection
91,5D936625-BDA7-49CD-A9CE-00E7BE1676FB,PIZZATOWN,3 - 1453 KING ST E,CAMBRIDGE,Food, General,Food Take Out,,,CRITICAL,Not in Compliance,1.0,2015-08-25,N,No,Re-inspection
92,5D936625-BDA7-49CD-A9CE-00E7BE1676FB,PIZZATOWN,3 - 1453 KING ST E,CAMBRIDGE,Food, General,Food Take Out,,,NON-CRITICAL,Corrected During Inspection,1.0,2017-05-25,N,No,Re-inspection
93,5D936625-BDA7-49CD-A9CE-00E7BE1676FB,PIZZATOWN,3 - 1453 KING ST E,CAMBRIDGE,Food, General,Food Take Out,,,NON-CRITICAL,Corrected During Inspection,1.0,2016-10-06,N,No,Compliance Inspection
94,5D936625-BDA7-49CD-A9CE-00E7BE1676FB,PIZZATOWN,3 - 1453 KING ST E,CAMBRIDGE,Food, General,Food Take Out,,,CRITICAL,Not in Compliance,1.0,2016-06-13,Y,No,Compliance Inspection
95,5D936625-BDA7-49CD-A9CE-00E7BE1676FB,PIZZATOWN,3 - 1453 KING ST E,CAMBRIDGE,Food, General,Food Take Out,,,CRITICAL,Corrected During Inspection,3.0,2016-06-13,Y,No,Compliance Inspection
96,5D936625-BDA7-49CD-A9CE-00E7BE1676FB,PIZZATOWN,3 - 1453 KING ST E,CAMBRIDGE,Food, General,Food Take Out,,,NON-CRITICAL,Not in Compliance,4.0,2016-06-13,Y,No,Compliance Inspection
97,5D936625-BDA7-49CD-A9CE-00E7BE1676FB,PIZZATOWN,3 - 1453 KING ST E,CAMBRIDGE,Food, General,Food Take Out,,,NON-CRITICAL,Corrected During Inspection,1.0,2016-06-13,Y,No,Compliance Inspection
98,5D936625-BDA7-49CD-A9CE-00E7BE1676FB,PIZZATOWN,3 - 1453 KING ST E,CAMBRIDGE,Food, General,Food Take Out,,,NON-CRITICAL,Not in Compliance,1.0,2017-03-03,N,No,Re-inspection
99,5D936625-BDA7-49CD-A9CE-00E7BE1676FB,PIZZATOWN,3 - 1453 KING ST E,CAMBRIDGE,Food, General,Food Take Out,,,CRITICAL,Corrected During Inspection,1.0,2015-11-13,N,No,Compliance Inspection
100,5D936625-BDA7-49CD-A9CE-00E7BE1676FB,PIZZATOWN,3 - 1453 KING ST E,CAMBRIDGE,Food, General,Food Take Out,,,NON-CRITICAL,Not in Compliance,2.0,2016-01-05,N,No,Compliance Inspection
101,5D936625-BDA7-49CD-A9CE-00E7BE1676FB,PIZZATOWN,3 - 1453 KING ST E,CAMBRIDGE,Food, General,Food Take Out,,,NON-CRITICAL,Corrected During Inspection,1.0,2017-05-18,Y,No,Compliance Inspection
102,5D936625-BDA7-49CD-A9CE-00E7BE1676FB,PIZZATOWN,3 - 1453 KING ST E,CAMBRIDGE,Food, General,Food Take Out,,,CRITICAL,Not in Compliance,1.0,2017-05-18,Y,No,Compliance Inspection
103,5D936625-BDA7-49CD-A9CE-00E7BE1676FB,PIZZATOWN,3 - 1453 KING ST E,CAMBRIDGE,Food, General,Food Take Out,,,CRITICAL,Corrected During Inspection,2.0,2017-02-28,Y,No,Compliance Inspection
104,5D936625-BDA7-49CD-A9CE-00E7BE1676FB,PIZZATOWN,3 - 1453 KING ST E,CAMBRIDGE,Food, General,Food Take Out,,,NON-CRITICAL,Not in Compliance,7.0,2017-02-28,Y,No,Compliance Inspection
105,5D936625-BDA7-49CD-A9CE-00E7BE1676FB,PIZZATOWN,3 - 1453 KING ST E,CAMBRIDGE,Food, General,Food Take Out,,,,,,2016-06-14,N,No,Re-inspection
106,CF87A387-8F56-4C02-B22A-00F7E03F6C38,FAT BASTARD BURRITO CO.,306 KING ST W,KITCHENER,Food, General,Restaurant,,,CRITICAL,Not in Compliance,1.0,2016-03-15,N,No,Compliance Inspection
107,CF87A387-8F56-4C02-B22A-00F7E03F6C38,FAT BASTARD BURRITO CO.,306 KING ST W,KITCHENER,Food, General,Restaurant,,,CRITICAL,Corrected During Inspection,1.0,2016-03-15,N,No,Compliance Inspection
108,CF87A387-8F56-4C02-B22A-00F7E03F6C38,FAT BASTARD BURRITO CO.,306 KING ST W,KITCHENER,Food, General,Restaurant,,,NON-CRITICAL,Not in Compliance,1.0,2016-03-15,N,No,Compliance Inspection
109,CF87A387-8F56-4C02-B22A-00F7E03F6C38,FAT BASTARD BURRITO CO.,306 KING ST W,KITCHENER,Food, General,Restaurant,,,NON-CRITICAL,Not in Compliance,1.0,2015-11-06,N,No,Compliance Inspection
110,CF87A387-8F56-4C02-B22A-00F7E03F6C38,FAT BASTARD BURRITO CO.,306 KING ST W,KITCHENER,Food, General,Restaurant,,,,,,2016-08-15,N,Yes,Compliance Inspection
111,CF87A387-8F56-4C02-B22A-00F7E03F6C38,FAT BASTARD BURRITO CO.,306 KING ST W,KITCHENER,Food, General,Restaurant,,,,,,2017-03-24,N,Yes,Compliance Inspection
112,4850096A-AFCF-4236-8773-00FEAE13B1B8,PIZZA HUT,2B - 2934 KING ST EST,KITCHENER,Food, General,Restaurant,,,NON-CRITICAL,Not in Compliance,1.0,2015-12-17,N,No,Re-inspection
113,4850096A-AFCF-4236-8773-00FEAE13B1B8,PIZZA HUT,2B - 2934 KING ST EST,KITCHENER,Food, General,Restaurant,,,NON-CRITICAL,Not in Compliance,2.0,2015-12-03,Y,No,Compliance Inspection
114,4850096A-AFCF-4236-8773-00FEAE13B1B8,PIZZA HUT,2B - 2934 KING ST EST,KITCHENER,Food, General,Restaurant,,,NON-CRITICAL,Corrected During Inspection,1.0,2016-07-25,N,No,Compliance Inspection
